,proverb,translation,
402,"அவன் அவன் எண்ணத்தை ஆண்டவன் ஆக்கினாலும் ஆக்குவான், அழித்தாலும் அழிப்பான்.",Every man’s purpose will be either effectuated or frustrated by the Supreme Ruler.,
403,அவன் கழுத்துக்குக் கத்தி தீட்டுகிறான்.,He is sharpening a knife for another's throat.,
404,அவன் உள்ளெல்லாம் புண் உடம்பெல்லாம் கொப்புளம்.,"His mind is full of sores, his body is covered with blisters.",
405,அவன் எனக்கு அட்டமத்துச்சனி.,To me he is Saturn in the eighth sign.The most malignant of enemies.,
406,அவன் தொத்தி உறவாடித் தோலுக்கு மன்றாடுகிறான்.,He seeks friendship and prays for a skin.,
407,அவன் தன்னாலே தான் கெட்டால் அண்ணாவி என்ன செய்வான்.,What can his teacher do if he ruin himself?,
408,அவன் காலால் கீறினதை நான் நாவால் அழிக்கிறேன்.,What he has scored with his feet I efface with my tongue.,
409,அவன் உனக்குக் கிள்ளுக்கீரையோ?,Do you consider him as a green-herb nipped off?,
410,அவன் கையைக்கொண்டே அவன் கண்ணில் குத்தினான்.,He took another’s hand and struck his eyes.,
411,அவன் சிறகில்லாப் பறவை.,He is a bird without wings.,
412,அவன் என் தலைக்கு உலை வைக்கிறான்.,He is preparing to cook my head.,
413,அவன் அவன் செய்த வினை அவன் அவனுக்கே.,Every one is responsible for his own actions.,
414,அவன் என்னை ஊதிப் பறக்கடிக்கப் பார்க்கிறான்.,He aims to scatter me to the winds.,
415,அவன் எரிபொரியென்று விழுகிறான்.,"He breaks out saying burn him, fry him.Said of one who suddenly bursts into a rage.",
416,அவன் ஓடிப்பாடி நாடியில் அடங்கினான்.,"Having run and sung, he at length sank like the pulse.",
417,அவன் வல்லாளகண்டனை வாரிப்போரிட்டவன்.,He is the man who encountered and fought the champion.,
418,அவன் கொஞ்சப்புள்ளியா?,Is he a man of limited wealth?Spoken of a slovenly miser.,
419,அவாந்தரத்தில் அக்கினி பற்றுமா?,"Can fire be kindled in mid-air?No, except by the Almighty ""who holds the lightning in his hand and tells it whom to strike.""",
420,அவித்த பயறு முளைத்த கதைபோல.,Like the story of the germination of boiled peas.,
421,"அவிவேகி உறவிலும், விவேகி பகையே நன்று.",Better is the hatred of the wise than the friendship of fools.,
422,அவிழ் என்ன செய்யும் அஞ்சு குணம் செய்யும் பொருள் என்ன செய்யும் பூவை வசம் செய்யும்.,"What can rice do? it can work the five senses, what can wealth do? it can subdue the world.",
423,அவையிலும் ஒருவன் சவையிலும் ஒருவன்.,One who belongs to this convention and to that convention.,
424,அவ்வளவு இருந்தால் அடுக்கிவைத்து வாழேனோ.,If I had so much should I not arrange my chatties earthen cooking vessels and prosper.Spoken regretfully of succour which ought to be and is not afforded.,
425,அழகிலே பிறந்த பவளக்கொடி அகத்திலே பிறந்த சாணிக்கூடை.,"In beauty equal to natural coral, at home a cow-dung basket.",
426,அழகிற்கு மூக்கை அறுப்பார் உண்டா?,Are there any who cut the nose for the sake of beauty.,
427,"அழகு இருந்து அழும், அதிஷ்டம் இருந்து உண்ணும்.","Beauty will sit and weep, fortune will sit and eat.",
428,அழகுப்பெண்ணே காற்றாடி உன்னை அழைக்கிறாண்டி கூத்தாடி.,"O beautiful maid, frail kite, the comedian calls you.Spoken of a female whose demeanour is inconsistent with modesty.",
429,அழகுக்கு இட்டால் ஆபத்துக்கு உதவும்.,"A jewel worn as an ornament may aid in adversity.Gold ornaments are often given as security for money borrowed to trade with, as well as to serve in pressing emergencies.",
430,"அழச்சொல்லுகிறவர் தமர், சிரிக்கச்சொல்லுகிறவர் பிறர்.","They who advise weeping are one’s friends, those who advise laughing are strangers.Spoken with reference to the character of advisers.",
431,"அழச்சொல்லுகிறவன் பிழைக்கச்சொல்லுவான், சிரிக்கச்சொல்லுகிறவன் கெடச்சொல்லுவான்",He who counsels us to weep does so to favour life; he who counsels mirth seeks our ruin.,
432,அழிக்கப்படுவானைக் கடவுள் அறிவீனன் ஆக்குவார்.,God dements him who is to be destroyed.,
433,அழிந்தவன் ஆரோடு போனால் என்ன?,What matters it with whom an abandoned woman goes?,
434,"அழிந்த நந்தவனத்தில் அசுவம் மேய்ந்து என்ன, கழுதை மேய்ந்து என்ன?",What matters it whether a horse or an ass grazes in a garden that lies waste?,
435,அழிவழக்குச் சொன்னவன் பழிபொறுக்கும் மன்னவன்.,One who seeks to maintain an unjust claim and a king who extenuates crime.Both are injurious to society.,
436,அழுகள்ளர் தொழுகள்ளர் ஆசாரக்கள்ளர்.,"Weeping hypocrites, canting sycophants and religious formalists.",
437,அழுகிற ஆணையும் சிரிக்கிற பெண்ணையும் நம்பக்கூடாது.,A weeping man and a smiling woman are not to be trusted.,
438,"அழுகிற வீட்டில் இருந்தாலும் இருக்கலாம், ஒழுகுகிற வீட்டில் இருக்கலாகாது.","Though one may abide in a house of mourning, it is not possible to remain in one that is leaky.",
439,அழுகிற பிள்ளைக்கு வாழைப்பழம் காட்டுகிறதுபோல.,Like showing a ripe plantain to a crying child.A premium on naughtiness.,
440,அழுகிற வேளை பார்த்து அக்குள் பாய்ச்சுகிறான்.,He tickles when one is weeping.Spoken of something that is obtruded at an inconvenient time.,
441,"அழுகிறதற்கு அரைப்பணம் கொடுத்து, ஓய்கிறதற்கு ஒரு பணம் கொடு.","Having given half a fanam for weeping, give a fanam to cease.",
442,அழுகையும் ஆங்காரமும் சிரிப்புக் கெலிப்போடா?,Are grief and self-will things to be made sport of?,
443,அழுக்குச் சிலைக்குள்ளே மாணிக்கம்.,A ruby in a dirty rag.,
444,அழுக்கை அழுக்குக் கொல்லும் இழுக்கை இழுக்குக் கொல்லும்.,"Dirt will remove dirt, reproach will overcome reproach.",
445,அழுக்கைத் துடைத்து மடிமேல் வைத்தாலும் புழுக்கைக் குணம் போகாது.,"Though cleaned and placed on one's knee, the mean disposition of a slave or low person will not leave him.",
446,அழுத கண்ணும் சிந்திய மூக்கும்.,A weeping eye and a running nose.,
447,அழுதவனுக்கு அகங்காரமில்லை.,He who is weeping has no pride.,
448,அழுதபிள்ளை பால்குடிக்கும்.,A crying child obtains milk.,
449,அழுத பிள்ளை உரம் பெறும்.,The weeping child will gain strength.,
450,அழுதும் பிள்ளை அவளே பெறவேண்டும்.,"Although she may weep, she herself must bare the child.",
451,"அழுத்த நெஞ்சன் ஆருக்கும் உதவான், இளகின நெஞ்சன் எவர்க்கும் உதவுவான்.","The hard-hearted will be of use to none, the tender hearted will be of use to all.",
452,அழுவார் அற்ற பிணமும் ஆற்றுவார் அற்ற சுடலையும்.,A corpse unwept and a funeral pyre unquenched.An affair or person forsaken by all.,
453,அழுவார் அழுவார் தம் தம் துக்கமே திருவன்பெண்டீருக்கு அழுவாரில்லை.,"All weep on account of their own griefs, none oh account of Tiruvan’s wife.Spoken of feigned sympathy and also of that outward expression of sorrow which is occasioned by surrounding circumstances.",
454,அழையா வீட்டிற்கு நுழையாச் சம்பந்தி.,The mother of a bride or bridegroom will not visit their new relations unless invited.,
455,அளகாபுரியிலும் விறகுதலையன் உண்டு.,"There are firewood carriers even in Alagapuri, (the city of Kuvéra.)Kuvéra a wealthy king; now regent of the North and the guardian of riches.",
456,"அளகாபுரி கொள்ளையானாலும், அதிஷ்ட ஈனனுக்கு ஒன்றும் இல்லை.","Although Alagapuri be given up to plunder, the unfortunate gains nothing thereby.",
457,அளகேசன் ஆனாலும் அளவு அறிந்து செலவு செய்யவேண்டும்.,Though as wealthy as Kuvéra you must keep your expenses within due bounds.,
458,அளக்கிற நாழி அகவிலை அறியுமா?,Does the measure know the price of grain?,
459,அளந்த நாழிகொண்டு அளப்பான்.,He will measure in the accustomed measure.,
460,அளந்தால் ஒரு சாணில்லை அரிந்தால் ஒரு சட்டிகாணாது.,"When measured it is not a span long, when chopped up it does not fill a chatti.",
461,அளந்து அளந்த நாழி ஒழிந்து ஒழிந்து வரும்.,By repeated measurement articles will be diminished.Constant use wears out a thing.,
462,அளவளாவில்லாதவன் வாழ்க்கை குளவளாக் கோடின்றி நீர் நிறைந்தற்று.,The prosperity of him who does not cultivate sociality is like the filling of a tank without a bank.,
463,அளவுக்கு மிஞ்சினால் அமிர்தமும் நஞ்சு.,If in excess even nectar is poison.,
464,அள்ளாது குறையாது சொல்லாது பிறவாது.,"That of which no part is taken out will not lessen, that which is not uttered will not get out.",
465,"அள்ளிக் கொடுத்தால் சும்மா, அளந்துக் கொடுத்தால் கடன்.","If taken up and given in handsful it is free, if measured out it is charged for.",
466,அள்ளிப் பால் வார்க்கையிலே சொல்லிப் பால் வார்த்திருக்குது.,"Whilst teeming milk already laded, the quantity is given.",
467,அள்ளுகிறவன் இடத்தில் இருக்கல் ஆகாது கிள்ளுகிறவன் இடத்தில் இருந்தாலும்.,One cannot afford to live with a plunderer though he might live with a pilferer.,
468,அள்ளுவது எல்லாம் நாய் தனக்கென்று எண்ணுமாம்.,It is said that a dog imagines every thing taken up by the hand is intended for himself.,
469,அறக்காத்தான் பெண்டிழந்தான்; அறுகாதவழி சுமந்து அழுதான்.,An over-suspicious man lost his wife and carried her sixty miles weeping.Some mischievous persons having concealed her in a box employed him to carry it to the sea-shore.,
470,அறக்குழைத்தாலும் குழைப்பாள் அரிசியாய் இறக்கினாலும் இறக்குவாள்.,She will over-boil the rice; or she will boil it imperfectly.,
471,அறக்கூர்மை மழுமொட்டை.,Excessive sharpness is perfect bluntness.,
472,அறச்செட்டு முழுநஷ்டம்.,Hard dealing ends in loss.,
473,அறணை அலகு திறவாது.,The streaked lizard opens not its mouth.,
474,அறணை கடித்தால் மரணம்,"If a streaked lizard bite, death ensues.",
475,அறத்தால் வருவதே இன்பம்.,That is happiness which springs from virtue.,
476,அறநனைந்தவருக்குக் கூதல் என்ன?,No cold to them that are completely wet.,
477,அறப்பேசி உறவாடவேண்டும்.,On a full understanding of the party admit to friendship.,
478,அறப்படித்தவர் அங்காடிபோனால் விற்கவுமாட்டார்; கொள்ளவுமாட்டார்.,When the hypercritical go to market they neither buy nor sell.,
479,அறப்படித்தவர் கூழ்ப்பானையில் விழுந்தார்.,One highly learned fell into a pot of gruel.,
480,அறப்பத்தினி ஆமுடையானை அப்பா என்று அழைத்த கதை.,"The story of a scrupulousy chaste wife who addressed her husband as Appa, father.",
481,அறப்படித்த மூஞ்சுறு கழுநீர்ப்பானையில் விழுந்தது போல.,As the thoroughly practised musk-rat was drowned in the refuse-pan.,
482,அறமுறுக்கினால் கொடுமுறுக்காகும்.,"When twisted to excess, fibres snap.",
483,அறமுறுக்கினால் அற்றுப்போகும்.,If over-twisted it will snap.,
484,அறமுறுக்குக் கொடும்புரி கொண்டு அற்றுவிடும்.,"When excessively twisted, strands break.",
485,அறம் பொருள் இன்பம் எல்லாருக்கும் இல்லை.,"Virtue, wealth and pleasure are not common to all.",
486,அறவடித்த முன்சோறு காடிப்பானையில் விழுந்தாற்போல.,As when being thoroughly strained the uppermost portion of the boiled rice fell into the refuse-pan.,
487,அறவும் கொடுங்கோலரசன்கீழ்க் குடியிருப்பிற் குறவன்கீழ்க் குடியிருப்பு,(Better) to live in subjection to a mountaineer than to be the subject of a cruel tyrant.,
488,அறிஞர்க்கழகு அகத்துணர்ந்து அறிதல்.,It is the merit of the wise to gain knowledge by meditation.,
489,"அறிந்த ஆண்டையென்று கும்பிடப் போனால், உங்கள் அப்பன் பத்துப் பணம் கொடுக்கவேண்டும் கொடு என்றான்.","When I went to a master whom I knew, to pay my respects, he said, your father owes ten fanams, give it me.",
490,அறிந்த பார்ப்பான் சிநேகிதன் ஆறு காசுக்கு மூன்று தோசையா?,A known brahman is a friend; are there only three pancakes for six cash?Said of taking advantage of previous acquaintance in a bargain.,
491,அறிந்தும் கெட்டேன் அறியாமலும் கெட்டேன் சொறிந்து புண் ஆயிற்று.,Knowingly and unknowingly I have been ruined; scratching has caused sores.,
492,அறிந்தவனென்று கும்பிட அடிமை வழங்கிட்ட கதை.,The story of one who claimed as his slave the man who had paid his respects to him because he was an acquaintance.,
493,அறிய அறிய கெடுவார் உண்டா?,Do any become vicious by increasing knowledge?,
494,அறியாத நாள் எல்லாம் பிறவாத நாள்.,All the days before the age of discretion are as the days before birth.,
495,அறியாமல் தாடியை வளர்த்து அம்பட்டன் கையில் கொடுக்கவா?,Have I grown my beard not knowing that it would fall into the hands of the barber?Said with reference to the loss of a cherished object.,
496,அறியாப் பிள்ளைப் புத்தியைப்போல,Like the idea of an innocent child.,
497,அறிவீனனிடத்தில் புத்தி கேளாதே.,Do not ask advice of the ignorant.,
498,அறிவீனர் தமக்கு ஆயிரம் உரைக்கினும் அவம்.,Though fools are told a thousand times the thing is useless.,
499,அறிவு ஆர் அறிவார்? ஆய்ந்தார் அறிவார்.,Who possesses information? Those who have examined a thing thoroughly.,
500,அறிவு இல்லாதவன் பெண்டுகளிடத்தில் தாழ்வுபடுவான்.,An ignorant man is despised even by women.,
501,அறிவு இல்லாச் சயனம் அம்பரத்திலும் இல்லை.,So to sleep as to be incapable of feeling is an impossibility.,
502,அறிவு பெருத்தோன் நோய் பெருத்தோன்.,He that increaseth knowledge increaseth sorrow.,
503,அறிவு இல்லார்க்கு ஆண்மையும் இல்லை.,The ignorant are not manly.,
504,அறிவு புறம்போய உலண்டதுபோல.,As a chrysalis destitute of intelligence.,
505,அறிவுடன் ஞானம் அன்புடன் ஒழுக்கம்.,"Wisdom is regulated by knowledge, good conduct by love.",
506,அறிவு மனதை அரிக்கும்.,Conscious guilt will fret the heart.,
507,அறிவு தரும் வாயும் அன்பு உரைக்கும் நாவும்.,A mouth that instructs and a tongue uttering words of love.Spoken of one characterized by wisdom and love.,
508,அறிவுடையாரை அரசனும் விரும்பும்.,Even a king will approve of wise men.,
509,அறிவுடையாரை அடுத்தாற் போதும்.,To obtain the favour of the wise is enough.,
510,அறிவேன் அறிவேன் ஆவிலை புளியிலைபோல் இருக்கும்.,"I know, I know (i.e., I know it well) the leaf of the banyan tree is like that of the tamarind tree.",
511,அறுக்கமாட்டாதவன் அரையில் ஐம்பத்தெட்டு அரிவாள்.,Fifty-eight sickles on the hip of one that cannot reap.Used in contempt of mere show and parade.,
512,அறுதவி மகனுக்கு அங்கம் எல்லாம் சேட்டை.,The son of a widow has evil gestures throughout his body.Said of persons irreclaimably and naturally vicious.,
513,அறுத்த கோழி துடிக்குமாப்போல.,Fluttering as a fowl with its throat cut.,
514,அறுத்தவள் ஆண்பிள்ளை பெற்ற கதை,The story of a widow who gave birth to a son.,
515,அறுபது நாளைக்கு எழுபது கந்தை.,Seventy rags for sixty days.,
516,"அறுபத்துநாலு அடிக் கம்பத்தின்மேல் ஆடினாலும், கீழே வந்து தியாகம் வாங்க வேண்டும்.","Although one may balance himself on a pole sixty-four feet high, he has to descend to receive gifts.",
517,அறுபத்தெட்டுக் கோரம்பலம்.,Sixty-eight tricks.Said of the various impediments which one meets with in carrying out a scheme.,
518,அறுப்புக் காலத்தில் எலிக்கும் ஐந்து பெண்சாதி.,In harvest time even a rat has five wives.,
519,"அறுவாய்க்கு வாய் பெரிது, அரிசிக்கு கொதி பெரிது.","The mouth of the rice-pot being enlarged by fracture, the rice must be boiled the longer.",
520,அறையில் ஆடி அல்லவோ அம்பலத்தில் ஆடவேண்டும்?,"One must appear in the assembly, must he not, after having practised privately?",
521,அறையில் இருக்கிறவர்களை அம்பலத்தில் ஏற்றுகிற புரட்டன்.,One who leads private persons into a place of justice and perverts judgment.,
522,அற்ப ஆசை கோடி தவத்தைக் கெடுக்கும்.,The least unlawful desire destroys a myriad acts of austerity.,
523,அற்பத்தில் அழகு குலைகிறதா?,Is beauty (self-respect) to be forfeited for a mere trifle?,
524,அற்பத் துடைப்பமானாலும் அகத்தூசியை அடக்கும்.,Although the broom is inferior it will lay the dust in the house.,
525,அற்பர் சிநேகிதம் பிராண கண்டிதம்.,The friendship of the mean will issue in fatal results.,
526,அற்பர் சிநேகம் பிராண சங்கடம்.,The friendship of the base is dangerous.,
527,அற்பனுக்கு ஐஸ்வரியம் வந்தால் அர்த்தராத்திரியில் குடைபிடிப்பான்.,"If a low-bred man obtain wealth, he will carry an umbrella at midnight.",
528,அற்பன் பணம் படைத்தால் வைக்க வகை அறியான்.,When a mean person acquires wealth he knows not how to take care of it.,
529,அற்றத்துக்கு உற்றதாய்.,Fitted to the opportunity.,
530,அனல் குளிர் வெதுவெதுப்பு இம்மூன்று காலமும் ஆறு காலத்திற்குள் அடக்கம்.,"Three kinds of weather, hot, cold and temperate are included in the six seasons.A year is divided into six seasons of two months each, beginning with August. The names of the seasons are 1. கார் cloudy. 2 கூதிர் cold. 3. முன்பனி evening dew. 4. பின்பனி morning dew. 5. இளவேனில் mild heat. 6. முதுவேனில் very hot.",
531,அனுபோகம் தொலைந்தால் அற்ப அவிழ்தமும் பலிக்கும்.,Even a common medicine may prove effectual after a disease has passed the crisis.,
532,"அன்பற்ற மாமியாருக்கு கால் பட்டாலும் குற்றம், கை பட்டாலும் குற்றம்.",The touch whether of the foot or the hand is an offence to one’s unkind mother-in-law.,
533,அன்பற்ற மாமியாருக்கு கும்பிடும் குற்றந்தான்.,Even obeisance is an offence to an unloving mother-in-law.,
534,அன்பற்றார் வாசலிலே பின்பற்றிப் போகாதே.,Don’t enter the portal of the uncharitable.,
535,அன்பான சிநேகிதனை ஆபத்திலே அறி.,Know a loving friend in adversity.,
536,அன்பில்லார் தமக்கு ஆதிக்கம் இல்லை.,They who are destitute of love are void of influence.,
537,அன்புள்ள குணம் அலையில்லா நதி.,A loving disposition is a river without a ripple.,
538,அன்பு இருந்தால் ஆகாதும் ஆகும்.,Where love reigns the impossible may be attained.,
539,அன்புடையானைக் கொடுத்து அலையச்சே அசல் வீட்டுக்காரன் வந்து அழைத்த கதை.,The story of a neighbour who invited a woman in distress at the loss of her husband.,
540,அன்பே பிரதானம் அதுவே வெகுமானம்.,"Love is all-important, and it is it’s own reward.",
541,"அன்றற ஆயிரம் பொன்னிலும், நின்றற ஒரு காசு பெரிது.",A single cash saved is greater than thousands of gold spent as soon as acquired.,
542,அன்றிறுக்கலாம் நின்றிறுக்கலாகாது.,"Pay at once, delay is bad.",
543,அன்று கண்ட மேனிக்கு அழிவு இல்லை.,"The body we then saw has suffered no decay.The word மேனி is also used for beauty, freshness.",
544,"அன்றும் இல்லைத் தையல், இன்றும் இல்லை பொத்தல்.","There was no stitching then, nor is there any hole now.",
545,"அன்றுகொள், நின்றுகொள், என்றும் கொள்ளாதே.","Buy when you require, be slow to make purchases, do not make daily purchases.",
546,அன்று தின்ற சோறு ஆறு மாதத்திற்கு ஆமா?,Will the boiled rice eaten then suffice for six months?,
547,அன்று தின்ற ஊண் ஆறு மாசத்துப் பசியை அறுக்கும்.,The food which was then eaten will keep one free from hunger for six months.,
548,அன்று எழுதினவன் அழித்து எழுதுவானா?,"Will he who wrote then, erase and write again?Referring to the changeless preordination of God.",
549,அன்றைக்கு கிடைக்கிற ஆயிரம் பொன்னிலும் இன்றைக்குக் கிடைத்த அரைக்காசு பெரிது.,The half cash obtained to-day is greater than thousands of gold to be got hereafter.,
550,அன்றைக்குத் தின்கிற பலாக்காயைவிட இன்றைக்கு தின்கிற களாக்காய் பெரிது.,"The Kalà fruit, carissa diffusa, of to-day is better than the jack fruit of the future.",
551,அன்னப் பிடி வெல்லப் பிடி ஆச்சுது.,A handful of boiled rice has become as precious as a handful of sugar.,
552,அன்ன மயம் பிராண மயம்.,"The property of food is the support of life.The supporting, nourishing quality of grain is its special property, without which, as life is now conditioned, it cannot exist.",
553,அன்ன மயம் இன்றிப் பின்னை மயம் இல்லை.,There is no physical virtue in aught but food.The same as the preceding.,
554,அன்னம் மிகக் கொள்வானும் ஆடை அழுக்கு ஆவானும் பதர்.,The glutton and the sloven are alike worthless.,
555,அன்னம் இட்டார் வீட்டில் கன்னம் இடலாமா?,May we break through the wall of the house of those who fed us?,
556,அன்னம் ஒடுங்கினால் அஞ்சும் ஒடுங்கும்.,"When food fails, the five senses fail.Referring to the exercise of the senses as dependent on the health of the body and its dependence on food.",
557,அன்ன நடை நடக்கபோய்த் தன் நடையும் கெட்டாற்போல.,"As in attempting to walk like a swan, the crow lost even its natural gait.",
558,அன்னம் முட்டானால் எல்லாம் முட்டு.,"When food or grain is scarce, all is scarce.",
559,அன்னப்பாலுக்குச் சிங்கியடித்தவள் ஆவின் பாலுக்குச் சர்க்கரை தேடுகிறாள்.,She who was wandering about for rice water is seeking sugar to mix in cow’s milk.,
560,அன்னதானத்திற்குச் சரி என்ன தானம் இருக்கிறது?,What gift is there that equals the gift of food?,
561,அன்னிய மாதர் அவதிக்கு உதவார்.,Strange women will not avail in avail in adversity.,
562,அன்னைக்கு உதவாதான் ஆருக்கு உதவுவான்.,Whom will he help that does not help his mother?,
563,அஸ்த செம்மானம் அடைமழைக்கு லக்ஷணம்.,A crimson sunset betokens abiding rain.,
564,அஸ்திமசகாந்தரம் என்றதுபோல் இருக்கிறது.,The difference is as great as that between an elephant and a mosquito.,
565,ஆகடியக்காரன் போகடியாய்ப் போவான்.,A scoffer will be destroyed.,
566,"ஆகாத நாளையில் பிள்ளை பிறந்தால், அண்டை வீட்டுக்காரனை என்ன செய்யும்?",If a child be born at an inauspicious time what evil will it occasion to a neighbour?,
567,ஆகாத பஞ்சாங்கத்துக்கு அறுபது நாழிகையும் தியாச்சியம்.,"In a false almanac, the sixty hours are to be rejected.In astrological calculations a time of three and three quarters to four Indian hours (நாழிகை 24 minutes) for the asterism that rules the day is considered unlucky: it is called தியாச்சியம் rejected.An imperfect or uncertain formula should be wholly rejected.",
568,ஆகாதவன் குடியை அடுத்துக் கெடுக்கவேண்டும்.,The family of the wicked must be destroyed by associating with it.,
569,ஆகாதவற்றை ஏற்றால் ஆராய்ந்து ஏற்றுக்கொள்.,If about to undertake a difficult work do so after due inquiry.,
570,ஆகாத்தியக்காரனுக்குப் பிரமகத்திக்காரன் சாட்சியா?,Is a brahmanicide a suitable witness for an abandoned wretch?,
571,ஆகாயத்துக்கு மையம் காட்டுகிறதுபோல.,Like pointing out the middle of the sky.An impossibility.,
572,ஆகாயத்தைப் பருந்து எடுத்துக்கொண்டு போகுமா?,Can a hawk carry away the sky?,
573,"ஆகாயத்தில் பறக்க உபதேசிப்பேன், என்னைத் தூக்கி ஆற்றுக்கு அப்பால் விடு என்கிறான் குரு.","The spiritual guide observed, I will teach you how to fly through the air, take me up and convey me to the other side of the river.",
574,ஆகாய வல்லிடி அதிரடி இடிக்கும்.,A powerful thunder-clap will occasion tremor.,
575,ஆகாயமட்டும் அளக்கும் இருப்புத்தூணைச் செல்லரிக்குமா ?,Will white ants destroy an iron pillar that reaches to the clouds?The proverb was used by Sita when speaking to Ravana.,
576,ஆகாயம் பார்க்கப்போயும் இடுமுடுக்கா ?,Is there not sufficient space for one to go and look at the sky?,
577,ஆகாயத்தை வடுப்படக் கடிக்கலாமா?,Can the air be bit so as to leave a mark?,
578,"ஆகாயம் பெற்றது, பூமி தாங்கினது.","The sky brought forth, the earth supported.",
579,ஆகிறகாலத்தில் அவிழ்தம் பலிக்கும்.,If favoured by fortune medicine will take effect in due time.,
580,ஆகுங்காலத்தில் அடியாளும் பெண் பெறுவாள்,"In times of prosperity, even a slave woman may bring forth a female child.",
581,ஆகுங்காய் பிஞ்சிலயே தெரியும்,A sound fruit may be known when it begins to set.,
582,"ஆகுங்காலம் ஆகும், போகுங்காலம் ஆகும்.","In auspicious times it succeeds, in inauspicious times it fails.",
583,ஆக்கப் பொறுத்தவன் ஆறப் பொறானா?,"Will he who waited till it was cooked, not wait till it cools?",
584,"ஆக்கிற் குழைப்பேன், அரிசியாய் இறக்குவேன்.","Should I cook I shall spoil the rice, either by under or over doing it.",
585,ஆக்கினையும் செங்கோலும் அற்றது அரை நாழிகையில்.,Rule will last but half an hour where discipline and authority do not exist.,
586,"ஆக்குகிறவள் சலித்தால் அடுப்புப் பாழ், குத்துகிறவள் சலித்தாள் குந்தாணி பாழ்.","If the cook be weary, the hearth will be useless; if she who pounds the rice be weary the mortar will be useless.",
587,ஆங்காரிகளுக்கு அதிகாரி.,The chief of the proud.,
588,ஆங்காலம் எல்லாம் அவசாரி ஆடிச் சாங்காலம் சங்கரா சங்கரா என்கிறாள்.,"She exclaims Sangará, Sangará at death having through life been given up to lewd behaviour.",
589,ஆசரித்த தெய்வம் எல்லாம் அடியோடே மாண்டது.,All the deities that were venerated have entirely perished.,
590,ஆசாரம் இல்லா அசடருடன் கூடிப் பாசாங்கு பேசிப் பதி இழந்துபோனேன்.,By being associated with the base and by speaking hypocritically I have forfeited my dwelling-place.,
591,ஆசீர்வாதமும் சாபமும் அறவோர்க்கு இல்லை.,The virtuous are not affected by blessing and cursing.,
592,ஆசை அவள் மேலே ஆதரவு பாய் மேலே.,"His mind is fixed upon her, his body is on the mat.",
593,"ஆசை அறுபது நாள், மோகம் முப்பதுநாள், தொண்ணூறு நாளும் போனால் துடைப்பக்கட்டை.","Sixty days of excessive desire, thirty of enjoyment; when the ninety are over, the remaining time is as useless as a worn-out broom.",
594,"ஆசை அண்டாதாகில், அழுகையும் அண்டாது.",If evil desire spring not sorrow will not approach.,
595,ஆசை உண்டானால் பூசை உண்டு.,"If there be heartfelt love, there will be deferential regard.Spoken of a devoted wife who has a cruel husband.",
596,ஆசை உள்ளளவும் அலைச்சலும் உண்டு.,"As long as desire continues, there will be anxiety also.",
597,ஆசை கொண்டபேருக்கு ரோசம் இல்லை.,Persons of inordinate desire have no shame.,
598,ஆசைக்கு அளவில்லை.,Desire has no limits.,
599,ஆசை சொல்லி மோசம் செய்கிறதா ?,Is it to deceive after using enticing words?,
600,ஆசை நோவுக்கு அவிழ்தம் ஏது ?,What remedy is there for love-sickness?,
601,ஆசை பெருக அலைச்சலும் பெருகும்.,"As desire increases, anxiety increases.",
602,"ஆசை பெரிதோ, மலை பெரிதோ ?","Which is greater, (human) desire or a mountain?",
603,ஆசைப்பட்டது ஊசிப்போயிற்று.,What was desired is now disgusting.,
604,ஆசையெல்லாம் தீர அடித்தாள் முறத்தாலே.,She beat him with the winnowing fan to banish all his desires.,
605,ஆசை வெட்கம் அறியாது.,Desire knows not shame.,
606,ஆசை வைத்தால் நாசம்.,Cherished desire ends in ruin.,
607,ஆச்சி ஆச்சி மெத்தப் படித்துப் பேசாதே.,"O mother, mother, do not speak so much.",
608,ஆச்சி is a provincialism for ஆயி.,"ஆடப் பாடத் தெரியாது இரண்டு பங்கு உண்டு.Neither able to sing nor dance, but he has two shares.",
609,ஆடமாட்டாத தேவடியாள் கூடம் போதாது என்றாள்.,The temple girl who could not dance said that the hall was not large enough.,
610,ஆடவிட்டு நாடகம் பார்க்கிறதா ?,Is it to look at the drama after having encouraged a profligate course?Spoken ironically.,
611,ஆடாஜாதி கூடாஜாதியா ?,Are those unfit for the drama unfit for every thing?,
612,ஆடாது எல்லாம் ஆடி அவரைக்காயும் அறுத்தாச்சுது.,All is done and the avarai fruit is cut?Indicating decayed circumstances.,
613,ஆடி அறவெட்டை அகவிலை நெல்விலை.,"July harvest having failed, the price of dry grain is that of paddy.",
614,ஆடி அமர்ந்தது கூத்து ஒரு நாழிகையில்.,The comedy began and ended in an hour.,
615,ஆடி ஓய்ந்த பம்பரம்.,A top that spins no longer.,
616,ஆடிக் கரு அழிந்தால் மழை குறைந்துபோம்.,If the embryo clouds of July fail rain will be scant.,
617,"ஆடிக்கறக்கிற மாட்டை ஆடிக் கறக்கவேண்டும், பாடிக் கறக்கிற மாட்டைப் பாடிக் கறக்கவேண்டும்.","A restless cow must be milked by force, and a gentle cow must be milked with kindness.Treatment to be regulated by circumstances.",
618,ஆடிக்காற்றில் உதிரும் சருகுபோல.,As dry leaves falling in the winds of July.,
