,proverb,translation
581,എലവു കാത്തിരുന്ന പക്ഷിയെപ്പോലെ,
582,"എലിക്കു മരണവേദന, പൂച്ചക്കു വിളയാട്ടം",
583,എലിക്കു മുറുക്കം. ചേരെക്കു വിളയാട്ടം,
584,എലിക്കുഞ്ഞിനെ നെല്ലുകൊറിക്കാൻ പഠിപ്പിക്കേണമോ,
585,എലിക്കുശുവിനാൽ കടൽ കലങ്ങുമൊ,
586,എലി നിരങ്ങിയാൽ പിട്ടം തഴകയില്ല,
587,"എലി, പന്നി, പെരിച്ചാഴി, പട്ടരും, വാനരൻതഥാ, ഇവർ ഐവരുംല്ലെങ്കിൽ മലയാളംമഹോത്സവം",
588,എലിപിടിക്കുംപൂച്ച കലവും ഉടെക്കും,
589,എലിപ്പുലയാട്ടിനു മലപ്പലയാട്ടു,
590,എലിയുടെ കണ്ണുനിറഞ്ഞാലും പൂച്ച കടിവിടുകയില്ല,
591,എലിയെ തോല്പിച്ചു ഇല്ലംചുട്ടാൽ എലി ചാടിയുംപോം ഇല്ലം വെന്തുംോം,
592,എല്ലാ ഗർഭവും പെറ്റു ഇനി കടിഞ്ഞൂൽ ഗർഭമെ പെറേണ്ടു,
593,"എല്ലാപക്ഷിക്കും ചിലെക്കാം, വശകൻ പക്ഷിക്കു ചിലെക്കാൻ മേലാ",
594,"എല്ലാഭഗവതിയും വെളിച്ചപ്പെട്ടു, മുപ്പീരിച്ചിപ്പോതിയെ ഉള്ളൂെളിച്ചപ്പെടാൻ",
595,"എല്ലാമാരയാനും തണ്ടിന്മേൽ, ചങ്കരമാരയാൻ തൊണ്ടിന്മേൽ",
596,എല്ലാരും തേങ്ങാഉടെക്കുമ്പൊൾ ഞാൻ ഒരു ചിരട്ട എങ്കിലും ഉടെക്കെണ്ടയൊ,
597,എല്ലാരുമുണ്ടു ചെല്ലാടമില്ല .,
598,എല്ലാരും പല്ലക്കേറിയാൽ ചുമപ്പാനാളവേണ്ടെ,
599,എല്ലാവർക്കും ഒരു അക്കരെ അമ്പലംവേണം,
600,എല്ലാവരോടും ഹിതങ്ങൾ പറയണം,
601,"എല്ലാ .അറിഞ്ഞവനുമില്ല, ഒന്നും അറിയാത്തവനുമില്ല",
602,എല്ലുമറിയ പണിതാലെ പല്ലുമുറിയ തിന്നാവു,
603,എളിയവൻ പറിക്കുന്നതു എ(ഇ)ലക്കറി,
604,എളിയൊരെകണ്ടാൽ എള്ളുംതുള്ളും,
605,എളുപ്പവഴിക്കു പകൽപോരാ,
606,എള്ളിലും ചൊള്ളിലും ചൊള്ളായാലൊ,
607,എള്ളിലെവാരം മുതിരയിൽതീരും,
608,എള്ളിൽവീണ ഒച്ചുപോലെ,
609,"എള്ളു ചോരുന്നതു കാണും, തേങ്ങാചോരുന്നതറികയില്ല",
610,എള്ളൊളംതിന്നാൽ എള്ളൊളംനിറയും,
611,എഴുകോൽ പുരയിൽ എൺകോൽ കന്തം,
612,എഴുന്ന ഊക്കിനു തുള്ളിയാൽ ഊരരണ്ടുമുറി,
613,"എഴുന്നകൂത്തു ഏഴുദിവസം, ഇരട്ടിച്ചാൽ പതിന്നാലു",
614,ഏകൽ ഇല്ലായ്കയാൽ ഏശിയില്ല,
615,ഏക്കം കൊടുത്തിട്ടു ഉമ്മട്ടംവാങ്ങുക,
616,ഏങ്ങുന്ന അമ്മക്കു കുരെക്കുന്ന അച്ഛൻ,
617,ഏച്ചുകെട്ടിയാൽ മുഴെച്ചിരിക്കും,
618,ഏടെക്കും മോഴെക്കും ചുങ്കംഇല്ല,
619,ഏട്ടിൽ അപ്പടി പയറ്റിൽ ഇപ്പടി,
620,ഏട്ടിൽകണ്ടപശു പുല്ലുതിന്നുകയില്ല,
621,"ഏട്ടിൽകണ്ടാല്പോരാ, കാട്ടിക്കാണണം",
622,ഏട്ടിൽചുരക്കാ കറിക്കാകാ,
623,ഏതപ്പാ കോതമംഗലം,
624,ഏതാനും ഉണ്ടെങ്കിൽ ആരാനും ഉണ്ട്,
625,ഏൻചത്തെ കോളികൂകു,
626,ഏറിപ്പോയാൽ കോരിക്കൂടാ (താഴെപോകും),
627,ഏറിയതും കുറഞ്ഞതും ആകാ,
628,ഏറുന്ന കുരങ്ങിനു ഏണിവേണമോ,
629,ഏറും മുഖവും ഒന്നൊത്തുവന്നു,
630,ഏറെ കിഴക്കോട്ടുപോയാൽ പനിപിടിക്കും,
631,ഏറെ ചിത്രം ഓട്ടപ്പെടും,
632,ഏറെ ചിരിച്ചാൽ കരയും,
633,ഏറെചിരി മടയന്റെ ലക്ഷണം,
634,ഏറെ പഠിത്വമുള്ള ഗൌളിക്കു കാടിക്കലത്തിൽ അപായം,
635,ഏറെപറയുന്നവന്റെവായിൽരണ്ടുപണം (ഒരുപണംപിഴ),
636,ഏറെപ്രിയം അപ്രിയം,
637,ഏറെബുദ്ധിയുള്ള പൊന്മാൻ കിണറ്റിലല്ലെമുട്ടയിടുന്നതു,
638,ഏറെബുദ്ധിയുള്ള വരാൽ വരമ്പിനടിയിലല്ലെമുട്ടയിടുന്നതു,
639,ഏറെവലിച്ചാൽ കോടിയും കീറും,
640,ഏറെവിളഞ്ഞാൽ വിത്തിനാകാ,
641,ഏറെവെളുത്താൽ പാണ്ടു,
642,ഏറ്റില്ലെങ്കിൽ തോറ്റില്ല,
643,ഏറ്റുമാറ്റും ഇല്ലാത്തജാതി,
644,ഏൽക്കുംകാലം തോല്ക്കെണ്ടിവരും,
645,ഒടിയാത്ത കമ്പേൽ പറിയാത്തവള്ളി,
646,ഒടുക്കമിരുന്നവൻ കട്ടിലൊടിച്ചു,
647,ഒട്ടുമില്ലാത്ത അമ്മയ്ക്കു അരയ്ക്കാൽപണത്തിന്റെ താലി,
648,ഒട്ടുമില്ലാത്ത ഉപ്പാട്ടിക്ക് ഒരുകണ്ടംകൊണ്ടാലും പോരെ,
649,ഒട്ടുംപറയാഞ്ഞാൽ പൊട്ടനായ്പോകും,
650,ഒത്തതുപറഞ്ഞാൽ ഉറിയും ചിരിക്കും,
651,ഒത്തപണിക്കു ഒരുകൊട്ട ആപ്പു,
652,ഒന്നു കിട്ടിയാൽ പിന്നെ വേറൊന്നു,
653,ഒന്നുകിൽ കളരിക്കുപുറത്തു അല്ലെങ്കിൽ ആശാന്റെ (ഗുരുക്കളെ) നെഞ്ചത്തു,
654,ഒന്നു കൊടുത്താൽ ഇരട്ടിക്കും ഇക്കാലം,
655,ഒന്നുകൊണ്ടറിയാം ഒമ്പതിന്റെ ബലാബലം,
656,ഒന്നു വരാത്തവനുമില്ല ഒമ്പതു വന്നവനുമില്ല,
657,ഒന്നെയുള്ളെങ്കിലും ഉലക്കകൊണ്ടടിച്ചു വളർത്തണം,
658,"ഒരപ്പംതിന്നാലും നെയ്യപ്പം തിന്നണം, ഒരടികൊണ്ടാലും ചെവിട്ടത്തുൊള്ളണം",
659,ഒരാണ്ടു വാരമെങ്കിൽ പിറ്റെയാണ്ടു പാത്തി,
660,ഒരാറെവന്നതെല്ലാം പൂളോനുംമക്കളും,
661,ഒരിക്കൽ ചത്താലെ ചുടുകാടറിയൂ,
662,"ഒരു അരിശത്തിനു കിണറ്റിൽചാടി, ഏഴരിശത്തിനു കേറാൻവയ്യാ",
663,ഒരു ഓല എടുത്താൽ ഇരു (അകവും)പുറവും വായിക്കണം,
664,ഒരു കാട്ടിൽ ഒരുപന്നി എന്നപോലെ,
665,ഒരുകൈകൊണ്ടു മുളം അളന്നുകൂടാ,
666,"ഒരു കൊമ്പു പിടിക്കിലും പുളിങ്കൊമ്പു പിടിക്കണം, ഒരുത്തനെ പിടിക്കിലുംരുത്തനെ പിടിക്കണം",
667,ഒരുജാതി പോകിലും മരിജാതി പോകണം,
668,ഒരുതൊഴുത്തിൽ മുളയുന്ന പശുക്കൾ കുത്തുന്നതും വടിക്കുന്നതുംയൽഅറിയാ,
669,"ഒരുത്തനായാൽഒരുത്തിവേണ്ടെ, പിന്നെവേണ്ടെ, പിന്നെവേണ്ടെ",
670,ഒരുത്തനും കരുത്തനും വണ്ണത്താനും വളിഞ്ചിയനും കൃഷിയരുതു,
671,ഒരുത്തനെ പിടിക്കലും കരുത്തനെ പിടിക്കണം,
672,ഒരുതൂണുണ്ടെങ്കിലെ ഒരുമുറം ചാരിക്കൂടു,
673,ഒരുദിവസംതിന്ന ചോറും ഒരുനാൾകുളിച്ച കുളവും മറക്കരുതു,
674,ഒരു നന്ദി ചെയ്തവനെ ഉള്ളത്തിൽവെക്കണം,
675,ഒരു നാഴിയിൽ വേറൊരുനാഴി പോകയില്ല,
676,ഒരുമയുണ്ടെങ്കിൽ ഉലക്കമേലും കിടക്കാം,
677,ഒരുമയ്ക്കു ഒൻപതു വർക്കത്ത,
678,ഒരുമരം കാവാകയില്ല,
679,ഒരുമേലാൻ(മാളൊരു)ചത്താൽ അതുകുറച്ചു വഴിമാറിയാൽമതി,
680,ഒരുമോഹങ്കൊണ്ടങ്ങൊട്ടു ചാടിയാൽ പല മോഹങ്കൊണ്ടിങ്ങൊട്ടുപോരാം,
681,ഒരുവാതിൽ അടെക്കുംപൊൾ മറ്റൊന്നു തുറക്കും,
682,"ഒരുവിദ്യപഠിക്കിലും വിഷവിദ്യപഠിക്കണം, വിഷവിദ്യപഠിക്കിലും വിഷമിച്ചു പഠിക്കണം",
683,ഒരുവീട്ടിൽനിന്നു ഒരുവീട്ടിൽമാറിയാൽ ആറുമാസത്തെപഞ്ഞം,
684,ഒരുവീട്ടിൽ രണ്ടുപെണ്ണം ഒരുകൂട്ടിൽ രണ്ടുനരിയും ഒരുപോലെ,
685,ഒരു വെടിക്ക് രണ്ടുപക്ഷി,
686,ഒരു വേനൽക്കു ഒരുമഴ,
687,ഒരെറ്റത്തിനു ഒരിറക്കമുണ്ടു,
688,ഒരോട്ടയുണ്ടാക്കി മറ്റൊരോട്ടയടക്ക,
689,ഒറ്റമരത്തിൽ കുരങ്ങുപോലെ,
690,ഒറ്റസന്താനം കുരുടന്റെ വടിപോലെ,
691,"ഒറ്റാലിൽ കിടന്നതുംപോയി ,കിഴക്കുനിന്നു വന്നതും പോയി",
692,"ഒറ്റാലിൽ വീണതതുമില്ല,കോർമ്പലെൽ കോർത്തതുമില്ല",
693,"ഒറ്റെക്കു ഉലക്ക,കാക്കാൻ പോയൊൻ കൂക്കട്ടെ",
694,ഒലിപ്പിൽ കുഴിച്ചിട്ട തറിപോലെ,
695,ഒല്ലിയിൽ തോറ്റതു കോണിയിൽ എടുക്ക,
696,"ഒല്ലി= പുതപ്പു 722 ഒളിച്ചു വയറ്റിൽ ഉണ്ടാകും, വെളിച്ചത്തുപെറും",
697,ഒഴക്കിനകത്തൊ കിഴക്കുമേക്കു,
698,ഒഴുകുന്ന തോണിക്കു ഒരുന്തു,
699,ഒഴുക്കുപോകുന്നെടത്തോളമെ അഴുക്കും പോകു,
700,ഒഴുക്കു നീറ്റിൽ അഴുക്കില്ല,
701,ഒഴുക്കുനീറ്റിൽ പുഴുക്കു നോക്കാറുണ്ടോ,
702,ഓകിൽ പോണതു പാളയിലാകട്ടെ,
703,ഓങ്ങും ഒച്ചയും ഒത്തിരിക്കുന്നു,
704,ഓടാമ്പലും സാക്ഷായുംകൂടെ എന്തിനു,
705,ഓടിപ്പോകുന്ന പട്ടിക്കു ഒരുമുളം കൂട്ടി,
706,ഓടിയവനും ഓടിച്ചവനും ഒരുപോലെ,
707,ഓടുന്നതിന്റെ കുട്ടി പറക്കും,
708,ഓടുരുക്കിയ മൂശാരിയെപോലെ,
709,ഓടം മാടായ്ക്കു പോകുമ്പോൾ ഓലക്കെട്ടു വേറെ പോകേണമൊ,
710,ഓടം വണ്ടിയിലും വണ്ടി ഓടത്തിലും,
711,ഓട്ടക്കാരനു പാട്ടം ചേരുകയില്ല,
712,ഓണമടുത്ത ചാലിയ(നെപോലെ)ന്റെ കൂട്ടു,
713,ഓണമുണ്ട വയറെ ചൂള പാടത്തുള്ളു,
714,ഓണത്തെക്കാൾ വലിയ മകം ഉണ്ടൊ,
715,ഓണംവന്നാലും ഉണ്ണിപിറന്നാലും കോരനു കുമ്പിളിൽ കഞ്ഞി,
716,ഓണം വരാൻ ഒരു മൂലം വേണം,
717,ഓണവും വിഷുവും വരാതെ പോകട്ടെ,
718,ഓപ്പയീയിരുപ്പിരുന്നാൽ അത്താഴം ഉണ്ണുന്നതെങ്ങിനെ,
719,ഓമനപ്പെണ്ണു പണിക്കാകാ,
720,ഓരായത്തിൽ കല്ലിടുന്നപോലെ,
721,ഓർത്തവൻ ഒരാണ്ടു ; പാർത്തവൻ പന്തീരാണ്ടു,
722,ഓലകളയാത്തോൻ നാടുകളയും,
723,ഓലക്കണ്ണിപ്പാമ്പുകൊണ്ടു പേടിപ്പിക്കേണ്ടാ,
724,ഓലപ്പുരക്കും ഓട്ടുപുരക്കും സ്ഥാനംഒന്നു,
725,ഓവിയുണ്ടങ്കിൽ ഉലക്കപ്പുറത്തുംകിടക്കാം,
726,ഔചിത്യംഇല്ലാത്ത നായരെ അത്താഴംഉണ്ണാൻ വരികെടൊ,
727,കക്കാൻപഠിച്ചാൽ നിൽക്കുവാൻ (ഞേലുവാൻ)പഠിക്കണം,
728,കക്കാൻ പോകുമ്പോൾ ചിരിക്കല്ല,
729,"കക്ഷത്തിലിരിക്കുന്നകതു പോകയുമരുതു, ഉത്തരത്തേലിരിക്കുന്നതു എടുക്കയും വേണം",
730,കച്ചിട്ടിറക്കിയുംകൂടാ മധുരിച്ചിട്ടു തുപ്പുകയുംകൂടാ,
731,"കഞ്ചാവഞ്ചുനിറംകാടും, കള്ളഞ്ചുമദംകാട്ടും",
732,കഞ്ഞികുടിച്ചുകിടന്നാലും മീശതുടക്കാനാളു വേണം,
733,കഞ്ഞിക്കും പററിനും കരഞ്ഞില്ലെങ്കിൽ ചെല്ലംപോലെ വളർത്തിക്കൊള്ളാം,
734,കടച്ചിച്ചാണകം വളത്തിന്നാകാ,
735,കടച്ചിയെകെട്ടിയെടം പശുചെല്ലും,
736,കടന്ത (കടന്തൽ) കൂട്ടിനു കല്ലെടുത്തെറിയും പോലെ,
737,കടപ്പുറം കിടക്കുമ്പോൾ കാൽക്കൂത്തൽ കിടക്കണമൊ,
738,കടമില്ലാതെ കഞ്ഞിയുത്തമം,
739,കടയ്ക്കൽ നനച്ചെ തലയ്ക്കൽ പൊടിക്കു,
740,കടം കൊടുത്താൽ ഇടവും കൊടുക്കണം,
741,കടം വാങ്ങി ഇടം ചെയ്യൊല്ലാ,
742,കടം വീടിയാൽ (ഇല്ലെങ്കിൽ) ധനം,
743,"കടൽ ചാടാനാഗ്രഹമുണ്ടു, തോടുചാടാൻ കാലുമില്ല",
744,കടലമ്മ പെണ്ണെങ്കിൽ ചരുവെങ്കിലും പെറും,
745,കടലിൽ കായം കലക്കിയതു പോലെ,
746,കടലിനു സമമൊ കുശവൻ മണ്ണെടുത്ത കുഴി,
747,കടലുവറ്റി കാക്ക പറക്കുമ്പോൾ കടലുവറ്റി ചാകും,
748,"കടിക്കുന്നതു കരിമ്പ് , പിടിക്കുന്നതു ഇരുമ്പ്",
749,കടിച്ചതുമില്ല പിടിച്ചതുമില്ലെന്നായി,
750,കടിഞ്ഞാണില്ലാത്ത കുതിര ഏതിലേയും പായും,
751,കടുകീറി കാര്യം; ആനകൊണ്ടു ഓശാരം,
752,കടുകീറി കണക്കു; ആനകെട്ടി ഓശാരം,
753,കടുചോരുന്നതു കാണും: ആന ചോരുന്നതു കാണുകയില്ല,
754,കടുമ്പിരി കയർ അറുക്കും,
755,കടുവായുടെ കയ്യിൽ കാപ്പിടെക്കു കൊടുത്താലൊ,
756,കട്ടകൊണ്ടു കട്ടതല്ലി,
757,കട്ടതു ചുട്ടു പോകും,
758,കട്ടവൻ നിൽക്കുമ്പോൾ ഉളിഞ്ഞവന്റെ തലപോയി,
759,കട്ടവനോടു കട്ടാൽ മൂന്നുമൂളൽ,
760,കട്ടികൂടിയാൽ കമ്പയും ചെല്ലും,
761,കടയ്ക്കൽ = മൂട്ടിൽ,
762,കട്ടിൽകാലേൽക്കോണ്ടേ കൊടിയിട്ടാറെയും തൃപ്തിവരാത്തവൾ,
763,കട്ടിൽ ചെറുതെങ്കിലും കാൽനാലു വേണം,
764,കട്ടെറുമ്പിനെ പിടിച്ചു ആസനത്തിൻ കീഴിൽ വെക്കുന്നതുപോലെ,
765,കട്ടോനും കടം കൊണ്ടോനും വറ്റോനും വലവീതോനും അടങ്ങുകയില്ല,
766,കട്ടോനെ കാണാഞ്ഞാൽ കണ്ടവനെ പിടിച്ച് കഴുവേറ്റുക,
767,കണക്കപ്പിള്ളയുടെ വീട്ടിൽ കരിക്കലും പൊരിക്കലും ധൃതി; കണക്കെടുത്തുോക്കുമ്പോൾ കരച്ചിലും വിളിച്ചിലും ധൃതി,
768,കണക്കു പറഞ്ഞാൽ കഞ്ഞിക്കു പറ്റില്ല,
769,കണക്കു വിട്ടാൽ പിണക്കു വരും,
770,കണിശൻ ഇനിക്കു മുമ്പെ പേർ വിളിച്ചു,
771,കണ്ടതിലോഹരി എടുത്താൽ വെന്തതിലോഹരി തിന്നാം,
772,"കണ്ടതു തീണ്ടൽ, കേട്ടതു പുല",
773,കണ്ടതെല്ലാം കൊണ്ടാൽ കൊണ്ടതെല്ലാം കടം,
774,കണ്ടതെല്ലാം പറഞ്ഞാൽ കണ്ണിനു ദോഷം,
775,"കണ്ടപ്പോൾ കരിമ്പ്, പിടിച്ചപ്പോൾ ഇരുമ്പ്",
776,കണ്ടമീനെല്ലം കറിക്കാകാ,
777,കണ്ടറിയാഞ്ഞാൽ കൊണ്ടറിയും,
778,കണ്ടശ്ശാർക്കുമുറിഞ്ഞാൽ കോരശ്ശാർക്കു ധാരയൊ,
779,കണ്ടം കൊണ്ടവനേ പിണ്ടം വെക്കൂ,
780,കണ്ടാലറിയാം കൊണ്ടാൽ കൊടുക്കുന്നതു,
781,കണ്ടാൽ ചന്തം വായില്പോകയില്ല,
782,കണ്ടാൽ നല്ലത് കാര്യത്തിന്നാകാ,
783,കണ്ടാൽ കളി കണ്ടില്ലെങ്കിൽ കാര്യം,
784,കണ്ടിമുഖത്തു മീൻ അടുത്തപോലെ,
785,കണ്ടിയിരിക്കെ മതിൽ തുള്ളരുതു,
786,കണ്ണൻവാഴച്ചുവട്ടിൽ കാളിവാഴയുണ്ടാകുമൊ,
787,കണ്ണി ഒന്നുപൊട്ടിയാൽ ചങ്ങലയും പൊട്ടി,
788,കണ്ണിൽ കൊള്ളേണ്ടതു പുരികത്തേൽ കൊള്ളിച്ചു,
789,കണ്ണിരിക്കെ കൃഷ്ണമണിയും കൊണ്ടുപോകുന്നവൻ,
790,കണ്ണുകാണാത്തവൻ കണ്ണാടിയിൽ നോക്കുമ്പോലെ,
791,കണ്ണുചിമ്മി ഇരുട്ടാക്കി,
792,കണ്ണുപോയാൽ അറിയാം കണ്ണിന്റെ കാഴ്ച,
793,"കണ്ണെത്താക്കുളം, ചെന്നെത്താവയൽ, നഞ്ഞും നായാട്ടും മറുമരുന്നില്ലാത്ത ആന്തയും",
794,കണ്ണൊടുകൊള്ളേണ്ടത് പുരികത്തോടായിപ്പോയി,
795,കതിരുകണ്ട പഞ്ഞം,
796,കതിരേൽകൊണ്ടു വളം വെച്ച പോലെ,
797,കത്തിവാളൊടു ചോദിച്ചിട്ടൊ കാടുവയ്ക്കുക,
798,കത്തുന്നതീയിൽ നെയി പകരുമ്പോലെ,
799,കന്നിക്കോഴി കയ്യിൽ,
800,കന്നിനെ കയംകാണിക്കരുതു,
801,കന്നുചെന്നാൽ കന്നിന്റെകൂട്ടത്തിൽ,
802,കപ്പൽ വച്ചു കടലൊക്കെ ഓടിയാലും കല്പിച്ചതേ അടങ്ങത്തുള്ളു,
803,കപ്പലിൽ കള്ളനുണ്ടൊ,
804,കപ്പലിനു പണിതുപണിതൊരു ചിമിഴായി,
805,കപ്പാളത്തീയനു മുപ്പാളത്തണ്ണീർ,
806,കമന്നുവീണാൽ കാല്പണം കയ്യിൽ,
807,കമ്മാളൻ കണ്ടതു കണ്ണല്ലെങ്കിൽ ചുമ്മാടും കെട്ടി ചുമക്കും,
808,കമ്പത്തിൽ കയറി ആയിരം വിദ്യ കാട്ടിയാലും സമ്മാനം വാങ്ങുവാൻ താഴെ ഇറങ്ങണം (താഴെവന്നെ സമ്മാനമുള്ളു),
809,കമ്പിളിക്കുണ്ടൊ കറ,
810,കയറെത്താത്തതുകൊണ്ടു കിണറുനികത്തണമൊ,
811,കയിലിനുതക്ക കണ,
812,കയം കണ്ട പോത്ത്,
813,കയ്യന്റെകയ്യിൽ കത്തി ഇരുന്നാൽ കടവഴിക്കുറ്റിക്കുനാശം,
814,കയ്യാടി എങ്കിലെ വായാടു,
815,കയ്യാലപുറത്തെ തേങ്ങാപോലെ,
816,കയ്യിൽ ഇരുന്നാൽ കാലത്തിനുതകും,
817,കയ്യിൽ കാശുണ്ടെങ്കിൽ അറിയാത്ത ഉമ്മായും അപ്പം തരും,
818,കയ്യിൽ കിടന്ന പണം കൊടുത്തിട്ടു കടിക്കുന്ന പട്ടിയെ വാങ്ങിയാലൊ,
819,കയ്യിൽ കൊടുത്താൽ കക്കാത്ത കള്ളനുണ്ടൊ(കള്ളനും കക്കാ),
820,കയ്യൂക്കുള്ളവൻ കാര്യക്കാരൻ.,
821,"കരകയും വേണം , കിറികോടുകയും അരുത് എന്നുവെച്ചാലൊ.",
822,കരണത്തിനു ചേർന്നതു കൈമറി,
823,കരണം പിഴച്ചാൽ മരണം ഭവിക്കും.,
824,കരയടുക്കുമ്പോൾ തുഴയിട്ടുകളയല്ലൊ.,
825,കരയുന്ന കുട്ടിക്കെ പാൽ ഉള്ളൂ.,
826,കരയുന്നവൻ കച്ചൊടം തുടങ്ങരുതു.,
827,കരിക്കട്ട കഴുകുന്തോറും കറുക്കും.,
828,കരിമ്പടത്തേൽ കറപറ്റുകയില്ല.,
829,കരിമ്പിൻ തോട്ടത്തിൽ കുറുക്കൻ കടന്നപോലെ ( ആന കേറിയപോലെ),
830,കരിമ്പിനു കമ്പുദോഷം.,
831,കരിമ്പിനു മധുരമുള്ളതുകൊണ്ടു വേരോടെ തിന്നണമോ.,
832,കരിമ്പു തിന്മാൻ കൈക്കൂലി വേണമൊ.,
833,കരിമ്പെൽ തേൻ വെച്ചതുപോലെ,
834,കരിമ്പെന്നുംചൊല്ലി വേരോളം ചവക്കരുതു.,
835,കരിന്തകാളി അകത്തെങ്കിൽ കരിമ്പിത്തം പുറത്തു.,
836,കരിവാടു ചുട്ടു നായെ തല്ലിയപോലെ.,
837,കരുത്തിനു ഊകാരം ഗുരുത്വം.,
838,കർക്കടക മാസത്തിൽ പത്തുഉണക്കണ്ടു,
839,കർക്കടഞ്ഞാറ്റിൽ പട്ടിണി കിടന്നതു പുത്തരി കഴിഞ്ഞാൽ മറക്കരുതു,
840,കറന്ന പാലിൽ കളവില്ല,
841,കറന്നുവിട്ടഅമ്മെക്കു ഭാഗ്യമുണ്ടെങ്കിൽ കാൽ ചുവട്ടിൽ തന്നെ വന്നുചേരും,
842,കറുപ്പുണ്ടെങ്കിലെ വെളുപ്പറിയൂ,
843,കറിക്കു പോരാത്ത കണ്ടം നുറുക്കല്ല,
844,കറുപ്പും ചെരിപ്പും അടുപ്പിക്കരുതു,
845,കറ്റയും തലയിൽവെച്ചു കളം ചെത്തരുതു,
846,കറ്റെക്കുതാൾപിടി പണയമൊ?,
847,കലത്തിൽ നിന്നുപോയാൽ കഞ്ഞിക്കലത്തിൽ,
848,കല്പനതന്നെപോരാ കനിവിൽനിനവുംവേണം,
849,"കല്യാണമാല, കനകമാല. കാണുന്നോർക്ക് ഇമ്പമാല, ഇല്ലാത്തോർക്ക് (കഴിക്കുന്നവനു) കണ്ഠമാല",
850,കല്ലടിക്കോടൻ കറുത്താൽ കറുകപുഴ നിറഞ്ഞു,
851,കല്ലാടുംവീട്ടിൽ നെല്ലാടുകയില്ല,
852,കല്ലിന്മെൽ വെച്ചു കുത്തിചീച്ചാലും ചാകയില്ല,
853,കല്ലു കാറ്റെടുക്കുമ്പോൾ കരിയില എവിടെ,
854,കല്ലെറിഞ്ഞ കാക്കപോലെ,
855,കല്ലെൽപെടുത്താൽ പല്ലെതെറിക്കും,
856,കളിയിൽ തുടങ്ങിയതു കാര്യമായി,
857,കളിയിലും കള്ളംആകാ,
858,"കള്ളഞ്ചുമദം കാട്ടും, കഞ്ചാവഞ്ചുനിറം കാട്ടും",
859,"കള്ളത്തിപശുവിനു ഒരു മട്ടി, തുള്ളിച്ചിപെണ്ണിനു ഒരു കുട്ടി",
860,കള്ളൻ എങ്കിലും വെള്ളൻ എങ്കിലും ഒരു ആൺപിറന്നവൻ അല്ലെ,
861,കള്ളൻ കട്ടു വെള്ളൻ കഴുവെറി,
862,കള്ളൻ കട്ടതിനു കോമട്ടിയെ കഴുവേറ്റി,
863,കള്ളനെ കക്കുക,
864,കള്ളനേ കള്ളന്റെ കാലറിഞ്ഞുകൂടു,
865,കള്ളനെ വിരട്ടുവാൻ പിള്ള മതി,
866,കള്ളനെ വിശ്വസിച്ചാലും കുള്ളനെ(കുറിയവനെ) വിശ്വസിച്ചുകൂടാ,
867,കള്ളപ്പണം കിട്ടിയാൽ കുഴിച്ചുമൂടണം,
868,കള്ളിന്റെ മട്ടും (മത്തും) കമ്മളിന്റെ പിട്ടും,
869,കള്ളിയിൽ കുത്തി കൈ എടുത്തപോലെ,
870,കള്ളുകണ്ട ഈച്ചയെപ്പോലെ,
871,കള്ളുപീടികയിൽ നിന്നു പാലു കുടിച്ചാലും കളെളന്നെപറയൂ,
872,കള്ളു വിലയ്ക്കു വിറ്റാൽ ചോറു നായ്ക്കൊവേണം,
873,കഴുത അറിയുമൊ കുംകുമം,
874,കഴുത ചവുട്ടാതെ കുതിരയുടെ പുറകിൽ പോയിനിൽക്ക,
875,കഴുത മക്കത്തുപോയാൽ ഹാജിയാമൊ,
876,കഴുതയെ തേച്ചാൽ കുതിരയാകുമൊ,
877,കഴുത്തു വലിയവനു നോവും വലിയത്,
878,"കഴുത്തേലെ മിന്നുംപോയി,മനസ്സിനു സൌഖ്യവുമായി",
879,കാക്കകുളിച്ചാൽ കുയിലാകുമൊ,
880,കാക്കകുളിച്ചാൽ കൊക്കാമൊ (കൊച്ചയാകയില്ല),
881,കാക്കത്തൂവൽകൊണ്ടു അമ്പുകെട്ടിയാൽ കാഷ്ടത്തിലെ കുത്തു,
882,കാക്കനോക്കറിയും; കാട്ടിആളറിയും,
883,കാക്കപൊങ്ങിപ്പറന്നാൽ കാഴുകനാകുമൊ,
884,കാക്കയിൽ പൂവൻഇല്ല,
885,കാക്കയും കുയിലും ഭെദമില്ലയോ,
886,കാക്കയുടെ ഒച്ചെക്കു പേടിക്കുന്നവൾ അർദ്ധരാത്രിയിൽതന്നെ ആറുനീന്തും,
887,കാക്കയുടെ കയ്യിലുമുണ്ടു കൽവു,
888,കാക്ക വഴികാട്ടിയാൽ തീട്ടക്കുഴിയിലെക്കു,
889,കാക്കവായിലെ അട്ടചാകൂ,
890,കാക്കെക്കു ചേക്കിടംകൊടുത്താൽ കാലത്താലെ നാശം,
891,കാക്കെക്കും തമ്പിളള പൊൻപിള്ള (തൻകുഞ്ഞു പൊൻകുഞ്ഞു),
892,"കാച്ച (കാഞ്ഞ,അനച്ച)വീണ (ചാടിയ)പൂച്ച പച്ചവെള്ളം കണ്ടാലും പേടിക്കും (അറെക്കും)",
893,കാഞ്ഞ ഓട്ടിൽ വെള്ളം പകർന്നപോലെ,
894,"കാഞ്ഞിരംകയിക്കും, കരിഞ്ഞൊട്ടകയിക്കും, കാണരുതാത്തവനെ കാണുമ്പോൾ കയിക്കും",
