	proverb	translation
336	ఉపాధ్యాయులవారూ, ఉక్తం ఉక్తం.	O teacher, uktam! uktam !Said by a school-boy when he saw a board about to fall on his master's head. He had been taught to render the Sanscrit word Uktam by Palaka baddadi (“it was said”). These words also signify “ the board has fallen," which the boy took to be the correct meaning of the Sanscrit word.
337	ఉపాధ్యాయులు యేమి చేస్తున్నాడంటే, అబద్ధాలు వ్రాసి దిద్దుకొంటున్నాడు అన్నాడట.	When asked what the school master was doing, one replied “he is correcting the mistakes he has made.”A bad workman.
338	ఉపాయము యెరగనివాణ్ని వూళ్లో వుండనివ్వకూడదు.	A witless fellow should not be allowed to remain in the village.
339	ఉప్పు తిన్నవాడు నీళ్లు తాగుతాడు.	The man that has eaten salt drinks water.
340	ఉప్పువాడూ చెడె, పప్పువాడూ చెడె, తమలపాకులవాడు తమాం చెడె.	The salt seller is ruined, the pulse vendor is ruined, and the betel seller is entirely ruined.
341	ఉభయపవిత్రాలూ తిని వుద్ధరిణెడు నీళ్లూ తాగి వూహూ అంటావా వుత్తమాశ్వమా.	Dost thou neigh after eating two grass rings and a tea spoonful of water, O excellent steed ?Said by a poor Brahman priet to his miserable pony which he had only fed with two rings (made of sacred grass and worn on his ring ﬁngers), and had given him water out of the small spoon used in sipping water in ceremonies.Giving little pay and expecting much work to be done.
342	ఉభయ భ్రష్టత్వం, వుప్పర సన్న్యాసిత్వం.	Ruined in both ways like a well-digger who turns Sanyasi.He is neither employed in his old trade nor supported in his new character.
343	ఉమ్మడిగొర్రె పుచ్చి చచ్చినది.	The sheep which was the joint property of two persons, was deserted and died.The ass of many owners is eaten by wolves. (spanish.)Between two stools fall to the bottom.
344	ఉయ్యాలలో పిల్లను వుంచి వూరెల్లా వెతికినట్టు.	Putting a child in a cradle and looking for it all over the village.He looks for his ass and sits on its back. (French.)
345	ఉరుకు వురుకుమనే నా సవతేకాని, తోడు వురికే నా సవతి యొకతెయున్నూ లేదు.	All these wretched women say to me “run, run” [on to the pile], but not one comes with me.Said by a widow when pressed to become Sati.
346	ఉల్లి పది తల్లుల పెట్టు.	Garlick is as good as ten mothers.
347	ఉల్లిపాయంత బలిజవుంటే, వూరంతా చెరుస్తాడు.	If there be a Balija man as small as a clove of garlick, he will ruin the whole village.Balija is a caste among Telugu and Canarese Sudras.One scabbed sheep will mar a whole ﬂock.One ill weed mars a whole pot of pottage.
348	ఉల్లి ముట్టనిదీ వాసనరాదు.	Unless you had touched the garlick [your ﬁngers] would not have smelt.If you had not meddled with a bad business you would not have got a bad name.He who touches pitch defiles himself. (Italian)
349	ఉల్లి వుంటే మల్లి వంటలక్కే.	When there are onions Malli is a ﬁne cook.Onions make up for bad cooking.
350	ఉసురు వుంటే వుప్పు అమ్ముకొని బ్రతకవచ్చును.	If you preserve your life, you can at least live by selling salt.Used as an argument not to risk life for the sake of gain.
351	ఉస్తెకాయ వూరనెంత, నంజ పెట్టనెంత.	How long does it take to salt an Ustekaya? How much is there of it to put on a dish?Ustekdya (Solanum Trilobatum) is a small fruit.Applied to something very insigniﬁcant.
352	ఊడుగ విత్తనము వంటివాడు	.He is like an Uduga seed.The seed of the Uduga ( Alangium Decapetalum) after falling from the tree, is said to attach itself again to the trunk when the rain falls.To stick to a man like a leech in spite of all rebuffs.
353	ఉల్లి ముట్టనిదీ వాసనరాదు.	Unless you had touched the garlick [your ﬁngers] would not have smelt.If you had not meddled with a bad business you would not have got a bad name.He who touches pitch defiles himself. (Italian)
354	ఉల్లి వుంటే మల్లి వంటలక్కే.	When there are onions Malli is a ﬁne cook.Onions make up for bad cooking.
355	ఉసురు వుంటే వుప్పు అమ్ముకొని బ్రతకవచ్చును.	If you preserve your life, you can at least live by selling salt.Used as an argument not to risk life for the sake of gain.
356	ఉస్తెకాయ వూరనెంత, నంజ పెట్టనెంత.	How long does it take to salt an Ustekaya? How much is there of it to put on a dish?Ustekdya (Solanum Trilobatum) is a small fruit.Applied to something very insigniﬁcant.
357	ఊడుగ విత్తనము వంటివాడు.	He is like an Uduga seed.The seed of the Uduga ( Alangium Decapetalum) after falling from the tree, is said to attach itself again to the trunk when the rain falls.To stick to a man like a leech in spite of all rebuffs.
358	ఊదకూడు యెన్నాళ్లు, వుద్యోగము యెన్నాళ్లు.	How long will the Uda food last? How long will your employment continue?
359	ఊపిరి పట్టితే బొజ్జ నిండునా.	Can the belly be ﬁlled by holding in the breath?Inadequate measures. Idleness.Idleness must thank itself if it go barefoot.
360	ఊరంతా చుట్టాలు, వుట్టికట్ట తావులేదు.	The village is full of relations, but there is no place to hang up the sling (i. e. no shelter).Give out that you have many friends, and believe that you have but few. (French.)
361	ఊరంతా వడ్లు యెండబెట్టుకొంటే, నక్క తోక యెండబెట్టుకొన్నదట.	When the whole village put their rice in the sun to dry, the jackal put his tail to dry.Foolish imitation.
362	ఊరంతా వుల్లి, నీవెందుకే తల్లి.	The village is full of garlick, what do I want with thee O mother?
363	ఊరకుంటు, అడివిలేడి.	Lame in the village and an antelope in the jungle.A skulk.
364	ఊరికంతా వకదోవ, వులిపికట్టెకు వకదోవ.	All the village has one way, and the prig another.
365	ఊరికి పొయ్యేవానికి లేకపోయినా, బహిర్భూమికి పొయ్యేవానికి బత్యము కట్టుమన్నట్టు.	Never mind giving provisions to the man setting out on a journey, but supply them to the man going to the rear of the village.
366	ఊరికి వక బోగముది, యెవరివద్ద ఆడును.	There is but one dancing girl in the village; before whom is she to dance?
367	ఊరికి వుపకారముగా ఆలికి కోక కొని పెట్టుతాను, యింటింటికీ డబ్బు యివ్వండి అన్నాడట.	As a public benefaction, I will buy a cloth for my wife; give me a pice from each house.
368	ఊరికె వస్తే మావాడు మరివకడు వున్నాడు.	If they are to be had for nothing, I have a relative here. Wishing to get two shares.Greediness.
369	ఊరికే వుండలేక పోతే, వురి పెట్టుకో.	If you can’t be quiet, hang yourself.
370	ఊరి పిడుగు వచ్చి వీరిశెట్టిని కొట్టుకొని పోయినది.	The misfortune of the village has carried off Virisetti.The story is as follows: A burglar in digging through the wall of a house was killed by the wall falling upon him; his wife prosecuted the owner of the house for having badly built walls; the house owner blamed the builder; the builder blamed a woman who had distracted his attention while at his work, by passing by that way; the woman blamed a goldsmith to whom she was going to get certain jewels which he had not ﬁnished for her; the goldsmith blamed the banker for not letting him have gold in time; the banker was sentenced accordingly to be impaled, but on the point of being put to death he suggested that the size of the instruments would be much better suited to fat Virisetti (to whom he owed a grudge); fat Virisetti was executed accordingly. This happened at Anyayapura (the city of injustice.)The innocent sutfering for the guilty.
371	ఊరి మీద నూరు పడ్డా, కరణము మీద కాసు పడదు.	Though a hundred [pagodas] be levied from the village, not a cash will be paid by the Karanam.A cash (కాసు) is l-GOth of an Anna.The instrument of oppression does not himself suffer.
372	ఊరివాడికి కాటిభయం, పొరుగూరివాడికి నీటిభయం.	The inhabitant of the village is afraid of the cemetery; the stranger is afraid of the water. The inhabitant of the village has a superstitious dread of the burial or burning ground, and avoids it; but the stranger does not know its situation and walks through it. On the other hand, the villager knows the depth of the tank, and does not fear going into it, but the stranger is afraid to venture.No safe wading in an unknown water.
373	ఊరివారి బిడ్డను నగరివారు కొట్టితే, నగరివారి బిడ్డను నారాయణుడు కొట్టును.	If one of the royal family strike a villager’s child, Narayana will strike his child."[The LORD] will avenge the blood of his servants." Deuteronomy xxxii. 43.
374	ఊరు పొమ్మంటుంది, కాడు రమ్మంటుంది.	The village says “go,” the cemetery says “come.”About to die.He is burnt to the socket.
375	ఊరు విడిచి పొరుగూరికి వెళ్లినా, పూనిన కర్మము మానదు.	Although you leave the village and go to another, your evil destiny will still attend you.
376	ఊరు వుస్తెకాయంత, సిద్ధాంతము తాటికాయంత.	The village is like the Ustekaya and the religious duties are like the Tatikaya.The Ustekéya is a small fruit, and the Tatikaya a large fruit.Applied to exactions imposed upon people for religious purposes greater than they can bear.
377	ఊరే చేరవద్దు రౌతా అంటే, గుర్రాన్ని యెక్కడ కట్టేది అన్నాడట.	When a trooper was told not to come into the village, he asked where he was to put up his horse.9
378	ఊళ్లు యేలే కొమారుడికన్నా వుపాదానమెత్తే పెనిమిటి నయము.	A husband that begs is better than a son that rules over villages.The one clings to his wife, the other despises his mother.
379	ఋణశేషము, వ్రణశేషము, అగ్నిశేషము, వుంచకూడదు	.Remains of a debt, of a sore, or of a ﬁre should not be left.
380	ఋషిమూలము, నదీమూలము, స్త్రీమూలము విచారించకూడదు.	Enquire not into the origin of a Rishi, a river, or a woman.Rishi is a saint. (See Wilson‘s Sans. Diet. )
381	ఎంగిలిచేత్తో కాకికయినా మెతుకు విదపడు.	He will not even throw his leavings to the crows.Said of a great miser.
382	ఎంచబోతే మంచమెల్లా కంతలే.	If you begin to count, you will ﬁnd the whole cot full of holes.Referring to a bed made of plaited rope.When a man wishes to ﬁnd fault, he loses no opportunities.When love fails we copy all faults.
383	ఊళ్లు యేలే కొమారుడికన్నా వుపాదానమెత్తే పెనిమిటి నయము.	A husband that begs is better than a son that rules over villages.The one clings to his wife, the other despises his mother.
384	ఋణశేషము, వ్రణశేషము, అగ్నిశేషము, వుంచకూడదు.	Remains of a debt, of a sore, or of a ﬁre should not be left.
385	ఋషిమూలము, నదీమూలము, స్త్రీమూలము విచారించకూడదు.	Enquire not into the origin of a Rishi, a river, or a woman.Rishi is a saint. (See Wilson‘s Sans. Diet. )
386	ఎంగిలిచేత్తో కాకికయినా మెతుకు విదపడు.	He will not even throw his leavings to the crows.Said of a great miser.
387	ఎంచబోతే మంచమెల్లా కంతలే.	If you begin to count, you will ﬁnd the whole cot full of holes.Referring to a bed made of plaited rope.When a man wishes to ﬁnd fault, he loses no opportunities.When love fails we copy all faults.
388	ఊళ్లు యేలే కొమారుడికన్నా వుపాదానమెత్తే పెనిమిటి నయము.	A husband that begs is better than a son that rules over villages.The one clings to his wife, the other despises his mother.
389	ఋణశేషము, వ్రణశేషము, అగ్నిశేషము, వుంచకూడదు.	Remains of a debt, of a sore, or of a ﬁre should not be left.
390	ఋషిమూలము, నదీమూలము, స్త్రీమూలము విచారించకూడదు.	Enquire not into the origin of a Rishi, a river, or a woman.Rishi is a saint. (See Wilson‘s Sans. Diet. )
391	ఎంగిలిచేత్తో కాకికయినా మెతుకు విదపడు.	He will not even throw his leavings to the crows.Said of a great miser.
392	ఎంచబోతే మంచమెల్లా కంతలే.	If you begin to count, you will ﬁnd the whole cot full of holes.Referring to a bed made of plaited rope.When a man wishes to ﬁnd fault, he loses no opportunities.When love fails we copy all faults.
393	ఎంచివేస్తే ఆరి తరుగునా.	Will the number decrease by drying?A reply given to a cheat who thus attempted to account for a defficiency in the quantity of vegetables.
394	ఎండబడితే వుండబడుతుంది, వుండబడితే వండబడుతుంది, వండబడితే తిండబడుతుంది, తిండబడితే పండబడుతుంది.	If the sun gets hot, he will have to stay; if he stays, dinner will have to be cooked for him; if it is cooked, it will have to be eaten ; and if he eats it, he will have to lie down.The muttered grumblings of a stingy host.
395	ఎంతదయో నరకడికి చేంత్రాడు వెతుకుతున్నాడు.	How kind the soamp is, searching for the well-rope!Said scoffingly by the wife whose husband was looking for the well rope, not to draw water for her, but to chastise her with.
396	ఎంతప్రొద్దు వుండగా లేచినా, తుమ్మగుంట వద్దనే తెల్లవారినది.	However early he rose the day always dawned while he was at the Tumma tank.Tumma is the Acacia Arabica. Tanks are often named from the trees planted around them. The earlier the man got up the more he dilly-dallied on the strength of it, so the sun always found him at the tank, in the way to his work.Early up, and never the nearer.
397	ఎంతమంచి గొల్లకయినా, నిమ్మకాయంత వెర్రి లేకపోదు.	However good a man a shepherd may be, he will not be entirely free from foolishness.
398	ఎంతమంచి పంది అయినా, అమేధ్యము తినక మానదు.	However good the pig may be, it will never cease to eat filth.A hay in armour is still but a hog.
399	ఎందుకు యేడుస్తావురా పిల్లవాడా అంటే, యెల్లుండి మావాండ్లు కొట్టుతారన్నాడట.	A lad when asked “Why are you crying my boy?” answered “They say my people are going to beat me the day after tomorrow.”Anticipating evils.You cry out before you are hurt.
400	ఎక్కడ కట్టితే నేమి, మనమందలో యీనితే సరి.	What matters it whose the bull was? If the cow calves in our herd, it‘s all right.Applied to an unprincipled action.
401	ఎక్కడయినా బావా అంవచ్చునుగాని, వంగతోట వద్ద బావా అనగూడదు.	Call me brother-in-law any where but at the Brinjal garden.Unwillingness to acknowledge relationship when it would cost anything.
402	ఎక్కడ వున్నావే కంబళీ అంటే, వేశిన చోటనే వున్నాను వెంగళీ అన్నదట.	“O blanket where are you?" said he “Where you left me, you madman,” it replied.A smart repartee.
403	ఎక్కడికి పోతావు విధమ్మా అంటే, వెంటనే వస్తాను పదమ్మా అన్నదట.	“Where are you going to Madam Fate?” asked one “ I’ll follow you, go on” she replied.The evil results of mixing with bad company.
404	ఎక్కితే గుర్రపు రౌతు, దిగితే కాలి బంటు.	If I ride I shall be a trooper, if I dismount I shall be a foot' soldier.A man who makes himself useful in any position.
405	ఎక్కిన వానికి యేనుగ లొజ్జు.	The elephant is subject to the man who has mounted it.
406	ఎక్కిపోయి పట్టిచూచి దిగివచ్చి రాళ్ల రువ్వినట్టు.	Having mounted [the tree] and felt [the fruit], he came down again and threw stones at it.
407	ఎక్కిరించబోయి వెల్లకిత్తలా పడ్డాడట.	He went to mock, and fell on his back.He went out shearing and he came home ‘horn.The biter bit.
408	ఎగదీస్తే బ్రహ్మత్య, దిగదీస్తే గోహత్య.	If I say this, it will be killing a Brahman; if I say that, it will be killing a cow.Said by a reluctant witness to himself, when called to give evidence regarding a complaint made by a Brahman that another man's cow had grazed in his ﬁeld.Being placed in a dilemma. by having to give evidence in a quarrel between two friends.
409	ఎత్తుకొని తిన్నబోలె యెదురుగా వస్తే, చంకన వున్నబోలె సలాం చేశినదట.	When he was met by the bowl that he used to collect alms in and eat out of, the bowl under his arm made salam to it.A begging impostor paying a visit on one occasion to a village where he thought he was not known, kept his alms-bowl under his arm. but when he met a man carrying an old bowl that had once belonged to him, the one under his arm is said to have betrayed its owner by claiming acquaintance with its predecessor.
410	ఎత్తుపడ్డ గొడ్డు పులికి జడుస్తున్నదా.	Is a bullock which has fallen down from fatigue afraid of a tiger?Resignation to one’s fate through utter helplessness.
411	ఎదట అన్నది మాట, యెదాన పెట్టింది వాత.	Reprove a man to his face; brand a man on his chest.Don't abuse a man behind his back.He who praises in praesentia, and abuse in absentia, have with him pestilentia. (German)
412	ఎదట వున్నవాడు పెండ్లికొడుకు.	The man in front is the bridegroom.
413	ఎదటి పొయ్యి మండితే తన పొయ్యిలో నీళ్లు పోసుకొన్నట్టు.	When the ﬁre was lighted in the opposite house, he threw water on his own.An envious man wazes lean with the fairness of his neighbour.Envy is its own torturer. (Danish)
414	ఎదురు పడ్డమ్మ యెండిపోయినదట.	The woman who was met wasted away.One woman met another out of whom a spirit had been driven, and fancied she was possessed.Unreasonable fears.
415	ఎద్దు దున్నగా పిణుజు వొగిరించినది.	While the bullock was ploughing, the tick pulled and blew.Applied to a person who does little in assisting others but makes much of it.What a dust have I raised! quoth the ﬂy upon the coach.
416	ఎద్దు పుండు కాకికి ముద్దా.	Is the bullock's sore tender to the crow?Said of one devoid of sympathy for others.
417	ఎద్దు యీనెనంటే, కొట్టాన కట్టుమన్నట్టు.	“The bullock has calved” [said one] “Then tie it up in the shed" [replied the other].Applied to a foolish speech.
418	ఎద్దు యెండకు లాగ, దున్నపోతు నీడకు లాగ.	The bullock pulled towards the sun, and the buffalo towards the shade.A bad match.Every couple is not a pair.
419	ఎద్దుల వెంబడే తాళ్లు.	Ropes after bullocks.Taken to tie them up with.Providing one’s self with what is necessary.
420	ఎద్ద్దేమి యెరుగురా అటుకులచవి, గాడ్దేమి యెరుగురా గంధపొడి వాసన.	What does a bullock know of the taste of parched grain? what does an ass know of the smell of perfume?To throw pearls before swine.Strew no roses before swine. (Dutch.)
421	ఎనుబోతుమీద వాన కురిశినట్టు.	As rain falls on a male buffalo.Apathetic indifference.
422	ఎనుము తన్నునని గుర్రమువెనక్కు పోయినట్టు.	Fearing the buffalo would kick, he went behind the horse.
423	ఎన్నడూ యెరగని రెడ్డి గుర్రము యెక్కితే, ముందూ వెనక ఆయెను.	The Reddi who had never mounted a horse before, sat with his face to the tail.
424	ఎన్ని బూతులయినా పిడికెడు కొర్రలు కావు.	Abuse me as much as you like, I've got my handful of grain out of you.Said by a beggar who had received alms and abuse together.When you have given me roast meal, you beat me with the spit.
425	ఎన్నో రణాలు కోశినానుగాని, నారణమంత తీపు లేదన్నట్టు.	I have out many boils, but there was never such pain as in my own.Said by a Surgeon.To cut into another man’s ear is like cutting into a felt hat. (Danish)He laughs at scars who never felt a wound. (German)
426	ఎప్పటి మేలు అప్పటికే.	When a good deed [ is done,] then only [is it thought of].Eaten bread is soon forgotten.
427	ఎరగని వూళ్లో యెమ్మెలు చేస్తే, యేకులు నీ మొగుడు వడుకుతాడా.	If you give yourself airs in the village where you are a stranger, will your husband spin the cotton?
428	ఎరుక పిడికెడు ధనము.	Acquaintance is a handful of money.
429	ఎరువుల సొమ్ములు బరువుకు చేటు, తియ్యా పెట్టా తీపుల చేటు, వాటిలో వొకటి పోతే అప్పులచేటు.	Borrowed ornaments cause inconvenience by their weight, pain by taking them off and putting them on, and debt if one of them is lost.He that goes a borrowing goes a sorrowing.
430	ఎర్రను చూపి చేపను పట్టినట్టు.	Like catching a ﬁsh with a worm.Fish follow the bait.10
431	ఎలుకకు పిల్లి పొంచు వేశినట్టు.	Like a cat crouching for a mouse.
432	ఎలుకకు పిల్లి సాక్షి.	The cat a witness in the rat’s case.Interested evidence.A fox should not be of the jury at a goose trial.
433	ఎలుక చావుకు పిల్లి మూర్ఛపోనా.	Will the cat faint at the death of the rat?Indifference.
434	ఎలుకమీది కోపాన యింటికి చిచ్చు పెట్టుకొన్నట్టు.	Like getting angry with a rat and setting ﬁre to one’s house.Burn not your house to fright away the mice.
435	ఎలుగు మంటికి తండసము తీశినట్టు.	Like pulling a bear’s hairs out with tweezers.An endless business.A cask that will never ﬁll. (Greek)
436	ఎల్లవారమ్మల బ్రతుకు తెల్లవారితే తెలుస్తుంది.	When it dawns, we shall know whose mother is alive.Said by a man to his wife, at whose instigation he had agreed that they should kill his mother. The mothers of the pair slept together and the wife's mother was murdered instead of the husband's, with the latter’s knowledge. The wife, having an inkling of the truth, endeavoured to persuade her husband to go and see which of the two they had spared, and he replied as above.
437	ఎల్లిశెట్టి లెక్క యేక లెక్క.	Elli Setti’s account is a single account.Receipts and disbursements, proﬁts and loss, all muddled up together.
438	ఎవరి అబ్బ సొమ్మురా యెక్కెక్కి యేడ్చేవు.	Whose father’s property are you sobbing for?Said to a man who is disappointed at not getting what he has no right to expect.He has a good estate, but the right owner keeps it from him,
439	ఎవరికి పుట్టిన బిడ్దవురా యెక్కెక్కి యేడ్చేవు.	Whose child are you, that you cry and weep so bitterly?
440	ఎవరికి వారే యమునా తీరే.	Every man to his own way on the banks of the Yamuna (Jumna).There every man is free to do what he has a fancy for.
441	ఎవరి నీళ్లలో వారు ముణగ వలె.	Every man must dip in his own waters.Every one must bear his own troubles.Each cross both its inscription.Every one bears his cross. (French)
442	ఎవరి ప్రాణము వారికి తీపు.	Every man’s life is sweet to himself.Life is sweet.
443	ఎవరి వెర్రి వారికి ఆనందము.	Every man’s folly is pleasure to himself.Fools are pleased with their own blunders.
444	ఎవరు యేమి చేశినా, యింటికి ఆలు అవుతుందా, దొంతికి కడవ అవుతుందా.	Will any service rendered by another be as a wife to the house or a pot for the pile?Said by a man whose wife has died or gone astray.
445	ఏకాదశా బ్రాహ్మణుడా అంటే, కాలే కొరివి యెగసన తోస్తావా అన్నాడట -ద్వాదశా బ్రాహ్మణుడా అంటే, ఆపదలు కాపురాలు చేస్తావా అన్నాడట.“Is it the fast O Brahman?” [asked one] “Will you stir up the ﬁre?” [replied the Brahman already irritated by fasting]. “Is it the festival?” [said the ﬁrst]. “Do troubles last for ever?” [answered the Brahman, delighted at the prospect of being fed.]	Welcome and unwelcome intelligence.
446	ఏ కాలు జారినా, పిల్లకే మోసము.	Whichever leg slips there is danger to the child.
447	ఎవరి వెర్రి వారికి ఆనందము.	Every man’s folly is pleasure to himself.Fools are pleased with their own blunders.
448	ఎవరు యేమి చేశినా, యింటికి ఆలు అవుతుందా, దొంతికి కడవ అవుతుందా.	Will any service rendered by another be as a wife to the house or a pot for the pile?Said by a man whose wife has died or gone astray.
449	ఏకాదశా బ్రాహ్మణుడా అంటే, కాలే కొరివి యెగసన తోస్తావా అన్నాడట -ద్వాదశా బ్రాహ్మణుడా అంటే, ఆపదలు కాపురాలు చేస్తావా అన్నాడట.“Is it the fast O Brahman?” [asked one] “Will you stir up the ﬁre?” [replied the Brahman already irritated by fasting]. “Is it the festival?” [said the ﬁrst]. “Do troubles last for ever?” [answered the Brahman, delighted at the prospect of being fed.]	Welcome and unwelcome intelligence.
450	ఏ కాలు జారినా, పిల్లకే మోసము.	Whichever leg slips there is danger to the child.
451	ఏకుల వంటి మెతుకులు వేసుకొని యెనప పెరుగు పోసుకొని యమరాలిని గనుక తింటూ వున్నాను గాని, దగ్గిరికి రాకండి పిల్లల్లాలా జడుసుకొనేరు.	I am a terrible woman eating grains of rice like ﬂocks of cotton mixed with buffalo curds, so don’t come near me children, you’ll take fright!Said by a greedy woman to keep her children off.
452	ఏకులు వుంచితే బుట్ట చిరుగుతున్నదా.	Will a basket be broken by being ﬁlled with ﬂocks of cotton?Ineffectual measures.
453	ఏ గాలికి ఆచాప యెత్తినట్టు.	Like setting the sail according to the wind.Set your sail according to the wind. (French)
454	ఏటి ఆవలి ముత్యములు తాటికాయలంతేశి అన్నట్టు.	The pearls on the other side of the river are as large as palmyra fruits.Exaggeration in describing things not present.
455	ఏటికి యెప్పుడు పోయినావు యిసక యెప్పుడు తెచ్చినావు అంటే, ఆడవారు తలిస్తే అది యెంతసేపు అన్నదట-మొగవారు తలిస్తే యిది యెంతసేపు అని నాలుగు బాదినాడట.	“When did you go to the river, when did you bring the sand?” [asked the husband] “If women like, how long will that take?" [saucily replied the wife] “If men like, how long will this take?” [said the husband] giving her four double-handers.The husband's question was caused by ﬁnding send in his food.
456	ఏటిదరి మానికి యెప్పుడూ చలనము.	A tree on the river bank always totters.Said of a man in an insecure position.
457	ఏటి యీతకూ లంక మేతకూ సరి.	The grazing on the island is not worth the swim across the river.
458	ఏటివద్ది నక్క కాగానే పాటిరేవు యెరుగునా.	Although the jackal lives near the river, will it know where the ford is?Applied to ignorant persons in high position.
459	ఏటి వొడ్డు చేను.	A ﬁeld on the bank of the river.A dangerous situation.
460	ఏట్లో వంకాయలు కాస్తవా అంటే కాస్తవి అన్నట్టు.	Like saying “yes” when asked whether brinjals grow in the river.A time server.
461	ఏట్లో వేశినా యెంచి వెయ్య వలెను.	Although you throw [things] into the river, take an account of them.Keep your expenditure within bounds.
462	ఏడిచేదాని మొగుడు వస్తే, నా మొగుడూ వస్తాడు.	If the weeping widow’s husband returns, mine will come also.Stolid indifference. Want of feeling.
463	ఏడిచే బిడ్డకు అరిటిపండు చూపినట్టు.	Like showing a plantain to a crying child.
464	ఏడుపులో యేడుపు యెడమ చెయ్యి బయట పెట్టుమన్నట్టు.	Show your [withered] left hand and add to their grief.The story is that after a marriage the bridegroom was found to be a fool, which caused much regret to the family of the bride. The bride groom's friends then told him to show the withered state of his left hand which he had hitherto concealed.Making bad matters worse.
465	ఏడుస్తూ యేరువాక సాగితే, కాడి మోకులు దొంగలు యెత్తుకొని పోయినారట.	While the man was sluggishly ploughing, thieves stole the rope collars.
466	ఏతి అంటే ప్రేతి అంటాడు.	When one says he’s going, the other says he’s dying.Spirit of contradiction.
467	ఏదుకు పెడతల బుద్ధి.	The porcupine has sense in the back of its head.Said of a man without brains.
468	ఏనుగకు కాలు విరగడమూ, దోమకు రెక్క విరగడమూ సమము.	The loss of a wing is the same to a mosquito as the loss of a leg to an elephant.Proportionate losses.
469	ఏనుగకు వక శీమ, గుర్రానికి వక వూరు, బర్రెకు వక బానిశె.	To keep an elephant [a man requires] a country, to keep a horse a village, and to keep a she-buifalo a maid.
470	ఏనుగకు వెలక్కాయలు లొట లొట.	A wood apple is very small in an elephant's throat.A very easy matter.
471	ఏనుగకు దాహముకు చూరు నీళ్లా.	Will the thirst of an elephant [be quenched] by the water which drops from the eaves?
472	ఏనుగను చూచి కుక్కలు మొరిగినట్టు.	Like dogs barking at an elephant.
473	ఏనుగను తెచ్చి యేకుల బుట్టలో వుంచి అది తననెత్తిన పెట్టి తన్ను యెత్తుకో అంటాడు.	He tells me to put the elephant into the cotton basket, to place the basket on his head, and to lift him up.Ekulabutta is a very small hand basket.Being asked to do an utter impossibility.
474	ఏనుగనెక్కినవాడు కుక్క కూతకు జడియడు.	The man who has mounted an elephant will not be afraid at the bark of a dog.He who is in favor with the great will not fear the enmity of the mean.
475	ఏనుగ పడుకొన్నా గుర్రమంత యెత్తు.	Even when the elephant lies down he is as high as the horse.A man much superior to another.
476	ఏనుగ మింగిన వెలగ పండు వత్తు.	Like a wood-apple swallowed by the elephant.It is swallowed whole, and is said to be found afterwards empty though unbroken.Said of a person in an inﬂuential position who does not beneﬁt others.
477	ఏనుగమీద పొయ్యేవాణ్ని సున్నము అడిగినట్టు.	Like asking a man on an elephant for some chunam.His hand cannot be reached.
478	ఏనుగలు తినేవాడికి పీనుగలు పిండివంట వత్తు.	To the man that eats elephants, corpses are as pastry.A thoroughly bad man won’t stick at triﬁes.
479	ఏ పాటు తప్పినా సాపాటు తప్పదు.	Whatever work is neglected, eating is not forgotten.11
480	ఏ పుట్టలో యే పాము వున్నదో తెలియదు.	What snake it is, and what hole it lives in, we don’t know.Said of persons whose abilities are not yet known.
481	ఏమి అప్పాజీ అంటే, కాలం కొద్దీ రాయజీ అన్నాడట.	“What, O Appaji! [is to be done?” said the king] “As occasion requires, O king!” replied [the minister].
482	ఏమి పోలిశెట్టీ అంటే, యెప్పటి మొత్తుకోళ్లే అన్నాడట.	When Polisetti was asked how he was getting on, he replied “I am in trouble as usual.”
483	ఏమీ తోచకపోతే, యెక్కిరించినాడట.	Not knowing what to do, he began to mimic others.
484	ఏమీ లేనమ్మకు యేడ్పుల శృంగారము, కలిగినమ్మకు కడుపుల శృంగారము.	Weeping is the ornament of a poor woman, embonpoint is the ornament of a rich woman.
485	ఏమీ లేని ఆకులు యెగసి పడితే, అన్నీవున్న ఆకులు అణిగి వుండినవి.	The leaf dishes which were empty rose up high; those that were full remained steady.( See Nos. 502, 1274.)The conceit of little knowledge, the humility of true learning.Shoal waters mak the maist din. (Scotch)
486	ఏ యెండకు ఆ గొడుగు పట్ట వలెను.	The umbrella must suit the hour of the day.Suitable to the occasion.
487	ఏరుకొని తినే పక్షి ముక్కున ముల్లు విరిగినట్టు.	Like a thorn piercing the beak of a bird that was picking up food.Losing the only means of support.
488	ఏరు తీశినట్టు.	Like the ﬂood subsiding.Perfect stillness after a tumult.After a storm comes a calm.
489	ఏరు నిద్ర పోయినట్టు.	As the river sleeps.Smooth waters run deep.There is no worse water than that which sleeps. (French.)
490	ఏరు మూరెడు తీస్తే, కయ్య బారెడు తీస్తుంది.	When the river goes down a cubit, the water in the ﬁeld goes down a fathom.If you lose a little in the favor of the great, you sink four times as much in the estimation of the people.
491	ఏరు యెంత పారినా కుక్కకు కతుకు నీళ్లే.	Let the river ﬂow ever so abundantly, the dog only gets what it can lap up.A servant neglected by a master liberal to strangers.
492	ఏరు యేడామడ వుండగానే, చీర విప్పి చంక పెట్టుకొని పోయినట్టు.	She took off her cloth and put it under her arm, While the river was still seventy milesoﬂ'.Do not strip before bed time. (French)
493	ఏలిన వానికి రేయుం బగులు వకటే.	Day and night are one to the [Supreme] Ruler."The darkness and the light are both alike to Thee." Psalm cxxxix. 12.
